[2024-12-18 18:27:51 : INFO] - Cache for URL: http://safety.abc/ has been purged, triggered by action: save_post 
[2024-12-18 18:27:51 : INFO] - Cache for URL: http://safety.abc/ has been purged, triggered by action: save_post 
[2024-12-18 18:27:52 : INFO] - Cache for URL: http://safety.abc/ has been purged, triggered by action: save_post 
[2024-12-18 18:31:55 : INFO] - Cache for URL: http://safety.abc/?elementor_library=global-kit-styles has been purged, triggered by action: save_post 
[2024-12-18 18:31:55 : INFO] - Cache for URL: http://safety.abc/?elementor_library=global-kit-styles has been purged, triggered by action: save_post 
[2024-12-18 18:31:55 : INFO] - Cache for URL: http://safety.abc/?elementor_library=global-kit-styles has been purged, triggered by action: save_post 
[2024-12-18 18:32:43 : INFO] - Cache for URL: http://safety.abc/?elementor_library=primary-header has been purged, triggered by action: save_post 
[2024-12-18 18:32:43 : INFO] - Cache for URL: http://safety.abc/?elementor_library=primary-header has been purged, triggered by action: save_post 
[2024-12-18 18:32:43 : INFO] - Cache for URL: http://safety.abc/?elementor_library=primary-header has been purged, triggered by action: save_post 
[2024-12-18 18:33:31 : INFO] - Cache for URL: http://safety.abc/?elementor_library=primary-header has been purged, triggered by action: save_post 
[2024-12-18 18:33:31 : INFO] - Cache for URL: http://safety.abc/?elementor_library=primary-header has been purged, triggered by action: save_post 
[2024-12-18 18:33:31 : INFO] - Cache for URL: http://safety.abc/?elementor_library=primary-header has been purged, triggered by action: save_post 
[2024-12-18 18:34:01 : INFO] - Cache for URL: http://safety.abc/?elementor_library=primary-header has been purged, triggered by action: save_post 
[2024-12-18 18:34:01 : INFO] - Cache for URL: http://safety.abc/?elementor_library=primary-header has been purged, triggered by action: save_post 
[2024-12-18 18:34:01 : INFO] - Cache for URL: http://safety.abc/?elementor_library=primary-header has been purged, triggered by action: save_post 
[2024-12-18 18:37:02 : INFO] - Cache for URL: http://safety.abc/?elementor_library=elementor-docs-archive-78 has been purged, triggered by action: save_post 
[2024-12-18 18:37:02 : INFO] - Cache for URL: http://safety.abc/?elementor_library=elementor-docs-archive-78 has been purged, triggered by action: save_post 
[2024-12-18 18:37:02 : INFO] - Cache for URL: http://safety.abc/?elementor_library=elementor-docs-archive-78 has been purged, triggered by action: save_post 
[2024-12-18 18:37:23 : INFO] - Cache for URL: http://safety.abc/?elementor_library=elementor-docs-archive-78 has been purged, triggered by action: save_post 
[2024-12-18 18:37:23 : INFO] - Cache for URL: http://safety.abc/?elementor_library=elementor-docs-archive-78 has been purged, triggered by action: save_post 
[2024-12-18 18:37:24 : INFO] - Cache for URL: http://safety.abc/?elementor_library=elementor-docs-archive-78 has been purged, triggered by action: save_post 
